dataset,arch,level,scale,single_tokens,cum_tokens,tokens_used,seed,method,accuracy,ece_percent,adaptive_ece_percent,brier,auroc
ai2d,m3,4,144,144,190,144,44,Temperature Scaling (TS),56.49999999999999,10.257400469557195,13.57602513864907,0.2511290543029385,0.6557064388159902
ai2d,m3,4,144,144,190,144,44,Platt Scaling (1D),56.49999999999999,8.938802682046209,8.28055515415521,0.23164880158689263,0.6557064388159902
ai2d,m3,4,144,144,190,190,44,Trajectory Platt (5D),56.49999999999999,9.246735751163214,9.381250806618482,0.2279582015747323,0.6769657206794832
ai2d,m3,4,144,144,190,144,45,Naive Confidence (NC),56.49999999999999,43.49793659701749,43.49793659701748,0.4349713096950388,0.649310853422846
ai2d,m3,4,144,144,190,144,45,Temperature Scaling (TS),56.49999999999999,9.999040646902891,14.20813466383524,0.2504879902039106,0.649310853422846
ai2d,m3,4,144,144,190,144,45,Platt Scaling (1D),56.49999999999999,4.533959870308729,8.653738166691083,0.2303683399357649,0.649310853422846
ai2d,m3,4,144,144,190,190,45,Trajectory Platt (5D),56.49999999999999,7.159875471144914,6.817448999732734,0.21931294504739207,0.6942325297528227
ai2d,m3,4,144,144,190,144,46,Naive Confidence (NC),56.49999999999999,43.497458626382645,43.49745862638264,0.4349607166846362,0.6319550401790255
ai2d,m3,4,144,144,190,144,46,Temperature Scaling (TS),56.49999999999999,10.327100944589333,14.03422163314497,0.251509565066083,0.6319550401790255
ai2d,m3,4,144,144,190,144,46,Platt Scaling (1D),56.49999999999999,4.3283392993599055,7.2196351544116935,0.23142141430695376,0.6319550401790255
ai2d,m3,4,144,144,190,190,46,Trajectory Platt (5D),56.49999999999999,5.989440493285656,8.948481075465677,0.2264329254769576,0.6721594954735022
ai2d,m3,5,576,576,766,576,42,Naive Confidence (NC),57.99999999999999,41.99901625154132,41.999016251541335,0.4199892636236126,0.6142882799671593
ai2d,m3,5,576,576,766,576,42,Temperature Scaling (TS),57.99999999999999,8.617470142125832,12.183677193205748,0.24769321328641017,0.6142882799671593
ai2d,m3,5,576,576,766,576,42,Platt Scaling (1D),57.99999999999999,5.633874101381699,7.697978394803124,0.23704881625696467,0.6142882799671593
ai2d,m3,5,576,576,766,766,42,Trajectory Platt (5D),57.99999999999999,8.606517631560568,11.150942761451008,0.22894420189955902,0.6613300492610839
ai2d,m3,5,576,576,766,576,43,Naive Confidence (NC),57.99999999999999,41.99889371300793,41.99889371300793,0.4199871879723462,0.6432933087027916
ai2d,m3,5,576,576,766,576,43,Temperature Scaling (TS),57.99999999999999,8.593131183881212,12.274348681411487,0.24640454276986815,0.6432933087027916
ai2d,m3,5,576,576,766,576,43,Platt Scaling (1D),57.99999999999999,5.5424878877671855,5.997175836499743,0.23094182112672068,0.6432933087027916
ai2d,m3,5,576,576,766,766,43,Trajectory Platt (5D),57.99999999999999,7.221495084464548,8.075009755790234,0.22818547134056857,0.6578663793103449
ai2d,m3,5,576,576,766,576,44,Naive Confidence (NC),57.99999999999999,41.99893316845723,41.99893316845723,0.41998735417196725,0.6042564655172413
ai2d,m3,5,576,576,766,576,44,Temperature Scaling (TS),57.99999999999999,8.685938206261792,10.882089322776377,0.2480735099333305,0.6042564655172413
