dataset,arch,budget,effective_n,is_capped,seed,method,adaptive_ece_percent,ece_percent,auroc,brier,adaptive_ece,ece
pope,mqt,50,50,False,45,Temperature Scaling (TS),4.31339155394645,2.45218170070857,0.8756171364867017,0.08976217823429083,0.043133915539464496,0.024521817007085698
pope,mqt,50,50,False,45,Platt Scaling (1D),3.5407771285710066,2.874718535111835,0.8756171364867017,0.08810920486084398,0.035407771285710064,0.02874718535111835
pope,mqt,50,50,False,45,Trajectory Platt (5D),3.3040902224080306,5.50483380645794,0.8633540372670809,0.09542408427416865,0.03304090222408031,0.0550483380645794
pope,mqt,50,50,False,45,VCPS-5D (Our Method),3.0225264413645614,2.915073716989674,0.8761745500875936,0.0887166109307783,0.030225264413645616,0.02915073716989674
pope,mqt,50,50,False,46,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,50,50,False,46,Temperature Scaling (TS),4.238377780824018,2.513186430041361,0.8756171364867017,0.08980960451116775,0.04238377780824018,0.025131864300413607
pope,mqt,50,50,False,46,Platt Scaling (1D),4.771300240227486,3.0847335136628886,0.8756171364867017,0.09081917541238625,0.04771300240227486,0.030847335136628885
pope,mqt,50,50,False,46,Trajectory Platt (5D),4.239635276943912,2.5669274845840815,0.8502946329033286,0.09259256729898288,0.04239635276943912,0.025669274845840813
pope,mqt,50,50,False,46,VCPS-5D (Our Method),4.262843826038005,2.763025101564218,0.870043000477783,0.08961938129113174,0.04262843826038005,0.027630251015642183
pope,mqt,100,100,False,42,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,100,100,False,42,Temperature Scaling (TS),6.028679304070523,5.940627056276638,0.8756171364867017,0.09145777100996631,0.06028679304070523,0.05940627056276638
pope,mqt,100,100,False,42,Platt Scaling (1D),6.275581608255331,5.309242373745156,0.8756171364867017,0.09232192400676398,0.06275581608255332,0.05309242373745156
pope,mqt,100,100,False,42,Trajectory Platt (5D),4.688964985007401,4.458727376961785,0.8202739289695812,0.09732141176375186,0.04688964985007401,0.04458727376961785
pope,mqt,100,100,False,42,VCPS-5D (Our Method),5.785570049089635,4.756532463710084,0.8690078037904125,0.09113936220018246,0.057855700490896354,0.047565324637100836
pope,mqt,100,100,False,43,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,100,100,False,43,Temperature Scaling (TS),4.359904281638129,2.7839490129973274,0.8756171364867017,0.0897687263034428,0.04359904281638129,0.027839490129973273
pope,mqt,100,100,False,43,Platt Scaling (1D),5.988997546463774,5.4903304181438175,0.8756171364867017,0.09322796975545564,0.05988997546463774,0.05490330418143818
pope,mqt,100,100,False,43,Trajectory Platt (5D),4.99315614984327,5.583643875899363,0.8458353240961937,0.10129043967206591,0.049931561498432704,0.055836438758993634
pope,mqt,100,100,False,43,VCPS-5D (Our Method),6.756775013130967,5.535997775970797,0.8768115942028987,0.09545151547263382,0.06756775013130967,0.05535997775970797
pope,mqt,100,100,False,44,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,100,100,False,44,Temperature Scaling (TS),4.6422781506043025,2.783695707159532,0.8756171364867017,0.08992716072443574,0.04642278150604302,0.02783695707159532
pope,mqt,100,100,False,44,Platt Scaling (1D),3.997118573293378,3.3530278595188396,0.8756171364867017,0.08861590111684603,0.03997118573293378,0.033530278595188395
pope,mqt,100,100,False,44,Trajectory Platt (5D),4.187225230435219,3.251255399381106,0.8506927854753943,0.08943724407291195,0.04187225230435219,0.03251255399381106
pope,mqt,100,100,False,44,VCPS-5D (Our Method),3.7871427055287197,4.069772537266842,0.8685300207039339,0.08891786530531477,0.0378714270552872,0.04069772537266842
pope,mqt,100,100,False,45,Naive Confidence (NC),4.300558529677436,4.0114217043670335,0.8756171364867017,0.090344299043824,0.04300558529677436,0.04011421704367034
pope,mqt,100,100,False,45,Temperature Scaling (TS),4.785734467375129,3.021962530773694,0.8756171364867017,0.09004900969991914,0.047857344673751294,0.03021962530773694
pope,mqt,100,100,False,45,Platt Scaling (1D),4.310910321160257,3.983483882679032,0.8756171364867017,0.08913873365024062,0.04310910321160257,0.03983483882679032
